Team/Npc,Gold,silver,bronze,total medals,rank by total
People's Republic of China,96,60,51,207,1
Great Britain,41,38,45,124,2
United States of America,37,36,31,104,4
RPC,36,33,49,118,3
Netherlands,25,17,17,59,9
Ukraine,24,47,27,98,5
Brazil,22,20,30,72,7
Australia,21,29,30,80,6
Italy,14,29,26,69,8
Azerbaijan,14,1,4,19,20
Japan,13,15,23,51,11
Germany,13,12,18,43,12
Islamic Republic of Iran,12,11,1,24,15
France,11,15,28,54,10
Spain,9,15,12,36,13
Uzbekistan,8,5,6,19,20
Poland,7,6,12,25,14
Hungary,7,5,4,16,24
Switzerland,7,4,3,14,27
Mexico,7,2,13,22,18
New Zealand,6,3,3,12,28
Israel,6,2,1,9,35
Canada,5,10,6,21,19
India,5,8,6,19,20
Thailand,5,5,8,18,23
Slovakia,5,2,4,11,30
Belarus,5,1,1,7,41
Tunisia,4,5,2,11,30
Algeria,4,4,4,12,28
Morocco,4,4,3,11,30
Belgium,4,3,8,15,25
Ireland,4,2,1,7,41
Nigeria,4,1,5,10,34
South Africa,4,1,2,7,41
Cuba,4,1,1,6,47
Jordan,4,0,1,5,50
Colombia,3,7,14,24,15
Venezuela,3,2,2,7,41
Malaysia,3,2,0,5,50
Denmark,3,1,1,5,50
Republic of Korea,2,10,12,24,15
Turkey,2,4,9,15,25
Indonesia,2,3,4,9,35
Czech Republic,2,3,3,8,39
Chile,2,3,1,6,47
Serbia,2,3,1,6,47
Norway,2,0,2,4,57
Singapore,2,0,0,2,63
Austria,1,5,3,9,35
Sweden,1,5,2,8,39
Greece,1,3,7,11,30
Finland,1,3,1,5,50
Kazakhstan,1,3,1,5,50
United Arab Emirates,1,1,1,3,58
Costa Rica,1,1,0,2,63
Ecuador,1,0,2,3,58
Cyprus,1,0,1,2,63
Sri Lanka,1,0,1,2,63
Ethiopia,1,0,0,1,73
Mongolia,1,0,0,1,73
Pakistan,1,0,0,1,73
Peru,1,0,0,1,73
Argentina,0,5,4,9,35
Egypt,0,5,2,7,41
Croatia,0,3,4,7,41
Latvia,0,3,2,5,50
Georgia,0,3,0,3,58
"Hong Kong, China",0,2,3,5,50
Bulgaria,0,2,0,2,63
Iraq,0,1,2,3,58
Kuwait,0,1,1,2,63
Namibia,0,1,1,2,63
Romania,0,1,1,2,63
Slovenia,0,1,1,2,63
Vietnam,0,1,0,1,73
Lithuania,0,0,3,3,58
Portugal,0,0,2,2,63
Bosnia and Herzegovina,0,0,1,1,73
El Salvador,0,0,1,1,73
Kenya,0,0,1,1,73
Saudi Arabia,0,0,1,1,73
Montenegro,0,0,1,1,73
Oman,0,0,1,1,73
Qatar,0,0,1,1,73
Chinese Taipei,0,0,1,1,73
Uganda,0,0,1,1,73
